CT_NAME;CT_TYPE;CT_AUTHORS;CT_TITLE;CT_URL;CD_NOM;CT_SP_ID;URL_SP
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;653917;039D6A73447C5C9A;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=039D6A73447C5C9A
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;653916;670001F0E786FE98;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=670001F0E786FE98
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;1948;D2F97D13FC8654A2;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=D2F97D13FC8654A2
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2823;CD7DC84B28AE24C8;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=CD7DC84B28AE24C8
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3249;667C6969D7874433;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=667C6969D7874433
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3302;F002188E226DF09C;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=F002188E226DF09C
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;982;9A8E55D00554A088;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=9A8E55D00554A088
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3364;74236837A4AFD042;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=74236837A4AFD042
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;4552;61CB98C064F82462;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=61CB98C064F82462
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;4525;240E33900CE34D44;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=240E33900CE34D44
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3021;1044B438EE7556BB;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=1044B438EE7556BB
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3741;C0876FE9D56CCDEB;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C0876FE9D56CCDEB
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3807;F2CEFD1A4EA5F608;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=F2CEFD1A4EA5F608
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2594;18B415D28BBF934C;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=18B415D28BBF934C
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2901;143A681C9BCE9A20;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=143A681C9BCE9A20
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3359;D01CDECDCA736E26;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=D01CDECDCA736E26
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3089;56E3016D3370A6D5;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=56E3016D3370A6D5
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;1972;ED4CE8E7CFF43696;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=ED4CE8E7CFF43696
